temperature,pressure,vibration,runtime_hours,machine_age(in_years),failure
78,32,55,900,4,0
88,41,75,1300,7,1
72,29,45,800,3,0
90,39,80,1500,9,1
76,31,50,1000,5,0
85,37,70,1200,6,1
70,28,40,700,2,0
92,43,85,1600,10,1
74,30,48,850,4,0
89,40,78,1400,8,1
80,34,60,950,5,0
83,35,68,1100,6,1
68,25,38,600,1,0
95,45,90,1700,12,1
73,30,52,880,4,0
87,38,74,1250,7,1
69,27,42,720,2,0
91,42,82,1550,9,1
75,31,54,910,4,0
86,36,72,1180,6,1
77,33,57,970,5,0
84,37,69,1230,7,1
71,28,46,790,3,0
93,44,88,1650,11,1
79,34,59,940,5,0
82,36,66,1080,6,1
67,24,35,580,1,0
94,46,92,1750,12,1
74,29,49,860,4,0
88,39,76,1350,8,1
73,37,62,656,1,0
78,32,48,818,6,0
92,46,47,1189,9,1
83,32,98,1136,12,0
89,28,93,1115,6,1
86,22,56,1225,2,0
76,35,63,1254,9,0
86,33,73,700,5,1
78,39,55,894,7,0
78,40,46,1354,8,1
82,39,64,1242,8,1
68,29,71,673,1,0
91,27,84,1065,7,1
75,32,88,1179,2,0
90,29,68,668,8,0
82,36,74,200,11,0
94,33,65,783,7,1
75,39,88,1459,0,1
78,32,46,645,8,0
84,23,83,1179,5,0
62,39,43,693,9,0
88,50,69,936,12,1
94,39,79,1809,10,1
91,25,63,1295,4,0
87,26,58,1724,2,0
80,45,77,245,6,1
92,34,63,1112,3,0
90,35,49,1388,11,1
84,31,48,1238,9,1
81,41,51,1136,4,1
78,36,71,816,9,0
70,27,45,1579,4,0
92,32,73,937,9,1
62,33,48,1678,5,1
78,32,68,1148,9,1
82,39,53,1517,4,1
88,29,52,743,1,0
96,32,64,1147,2,0
90,45,54,1398,5,1
79,45,70,824,6,1
87,46,53,735,1,0
70,37,31,912,6,0
93,40,30,927,8,1
80,30,39,1719,9,0
75,30,77,370,4,0
76,26,65,890,1,0
80,38,45,1643,14,1
78,39,56,1052,1,1
101,38,79,1586,6,1
75,33,41,1108,11,0
81,32,71,957,5,0
81,41,76,1713,6,1
81,29,39,1323,4,0
81,36,59,1088,6,0
77,42,35,707,8,0
76,38,77,1028,7,0
74,37,54,861,3,0
68,38,41,751,8,1
83,38,64,1473,10,1
89,34,61,737,1,0
76,25,68,670,2,0
76,23,39,1500,6,0
78,36,94,1091,7,0
77,33,69,440,9,0
69,46,48,1260,7,0
93,36,87,788,4,0
85,48,65,1079,10,1
75,30,49,1276,6,0
84,44,57,1739,9,1
77,38,70,1326,4,0
79,43,71,717,7,1
84,30,72,1555,8,1
89,30,68,908,14,1
94,32,76,757,4,1
96,44,61,1299,8,1
79,38,58,1243,9,0
77,43,62,639,8,0
82,28,82,1379,5,1
82,45,67,1062,5,1
75,43,35,1736,7,0
76,31,44,626,7,0
88,30,46,908,11,0
95,35,64,1501,8,1
79,38,90,1164,2,1
75,34,36,1014,1,0
79,39,35,1266,6,0
72,28,36,223,6,0
79,43,61,1197,8,1
85,42,52,958,6,0
80,40,76,516,3,0
92,29,32,1308,4,0
82,41,69,984,5,1
85,28,52,1525,2,1
80,43,81,1277,4,1
92,27,64,1128,6,1
71,34,51,1122,4,0
78,40,41,1460,7,1
71,28,82,530,7,0
88,23,54,1624,7,0
88,32,42,1339,6,1
77,32,48,1685,4,0
95,32,64,996,2,0
78,36,66,980,9,0
69,34,52,789,7,0
79,35,59,1382,8,1
84,29,55,847,4,1
79,32,82,1358,6,1
100,37,51,1227,1,1
88,29,48,1015,7,0
96,28,44,1089,3,0
93,34,58,1393,3,1
67,48,76,1056,6,1
78,48,63,1323,4,1
58,20,62,401,5,0
75,32,80,754,4,0
91,34,75,918,8,1
74,34,66,1447,8,1
76,34,95,922,7,1
84,31,37,1313,7,0
88,33,84,932,5,0
78,27,75,755,12,0
79,25,42,1016,10,0
88,28,83,1030,5,0
83,35,83,1343,7,1
79,38,60,1375,1,0
84,49,49,1416,3,1
82,30,53,1581,8,1
83,41,85,1157,11,1
98,34,71,640,10,1
78,32,45,731,5,0
76,39,87,1006,6,0
93,34,79,1535,3,1
75,30,43,794,5,0
96,30,68,728,10,1
79,29,63,1245,6,0
